test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.fs.TestFsShellCopy#testCopyCrc@;@28@;@31@;@10891@;@10891@;@0@;@2968@;@2968@;@13@;@29m 54s
org.apache.hadoop.fs.TestChecksumFs#testRenameFileIntoDirFile@;@24@;@24@;@9073@;@9073@;@0@;@1624@;@1629@;@5@;@29m 55s
org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testClientRetriesWithAuthenticationExceptionWrappedinIOException@;@3@;@10@;@11031@;@7982@;@2@;@1608@;@1608@;@6@;@29m 54s
org.apache.hadoop.security.alias.TestCredShell#testPromptForCredentialWithEmptyPasswd@;@29@;@29@;@13204@;@13204@;@0@;@1979@;@1979@;@4@;@29m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testDeleteEmptyDirectory@;@28@;@28@;@10394@;@10391@;@1@;@2022@;@2182@;@7@;@29m 55s
org.apache.hadoop.ipc.TestRPC#testProxyAddress@;@59@;@61@;@1410@;@1118@;@8@;@2803@;@2865@;@47@;@29m 46s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testCreateFlagCreateAppendNonExistingFile@;@23@;@23@;@11753@;@8703@;@2@;@2049@;@2472@;@4@;@29m 55s
org.apache.hadoop.fs.TestRawLocalFileSystemContract#testZeroByteFilesAreFiles@;@29@;@29@;@11807@;@11807@;@0@;@1629@;@1634@;@5@;@29m 55s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalDeleteExisting2@;@44@;@44@;@10783@;@0@;@8@;@2030@;@2529@;@21@;@29m 55s
org.apache.hadoop.security.TestUserGroupInformation#testHasSufficientTimeElapsed@;@18@;@18@;@13929@;@13924@;@2@;@2177@;@2201@;@8@;@29m 55s
org.apache.hadoop.security.TestRuleBasedLdapGroupsMapping#testGetGroupsInvalidRule@;@25@;@30@;@13804@;@11657@;@1@;@2343@;@2345@;@29@;@29m 54s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testGlobStatusFilterWithMultiplePathMatchesAndNonTrivialFilter@;@29@;@29@;@12285@;@0@;@2@;@2110@;@2468@;@9@;@29m 55s
org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testClientRetriesSucceedsSecondTime@;@3@;@10@;@460@;@314@;@3@;@1608@;@1608@;@6@;@29m 48s
