test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hbase.TestGlobalMemStoreSize#testGlobalMemStore@;@1915@;@1918@;@4139@;@0@;@16@;@2@;@324@;@142@;@29m 0s
org.apache.hadoop.hbase.TestHBaseTestingUtility#testMiniDFSCluster@;@520@;@532@;@2218@;@0@;@14@;@152@;@152@;@142@;@13m 1s
org.apache.hadoop.hbase.TestHBaseTestingUtility#testMiniZooKeeperWithMultipleClientPorts@;@19@;@19@;@17128@;@34@;@5@;@19@;@506@;@18@;@13m 1s
org.apache.hadoop.hbase.TestHBaseTestingUtility#testMiniClusterWithSSLOn@;@533@;@545@;@4436@;@0@;@17@;@150@;@399@;@160@;@13m 1s
org.apache.hadoop.hbase.TestHBaseTestingUtility#testMiniClusterBindToWildcard@;@521@;@532@;@7112@;@0@;@17@;@152@;@401@;@143@;@13m 1s
org.apache.hadoop.hbase.TestHBaseTestingUtility#testKillMiniHBaseCluster@;@2031@;@2037@;@5743@;@0@;@5@;@165@;@482@;@29@;@13m 0s
org.apache.hadoop.hbase.TestHBaseTestingUtility#testMiniCluster@;@674@;@686@;@8628@;@0@;@16@;@28@;@269@;@142@;@29m 32s
org.apache.hadoop.hbase.tool.TestCanaryTool#testBasicZookeeperCanaryWorks@;@1915@;@1918@;@3736@;@0@;@1@;@150@;@150@;@144@;@13m 0s
org.apache.hadoop.hbase.tool.TestCanaryTool#testCanaryRegionTaskReadAllCF@;@521@;@533@;@3332@;@0@;@1@;@150@;@399@;@145@;@13m 2s
org.apache.hadoop.hbase.tool.TestCanaryTool#testBasicCanaryWorks@;@1915@;@1918@;@2379@;@0@;@1@;@150@;@150@;@144@;@12m 56s
org.apache.hadoop.hbase.TestZooKeeper#testRegionServerSessionExpired@;@543@;@1919@;@229@;@0@;@1@;@12807@;@14827@;@1697@;@8m 54s
org.apache.hadoop.hbase.tool.coprocessor.CoprocessorValidatorTest#testTableNoSuchClass@;@1@;@2@;@25615@;@25615@;@0@;@0@;@0@;@2@;@13m 0s
org.apache.hadoop.hbase.tool.coprocessor.CoprocessorValidatorTest#testObsoleteMethod@;@1@;@2@;@26473@;@26473@;@0@;@0@;@0@;@2@;@13m 0s
org.apache.hadoop.hbase.tool.coprocessor.CoprocessorValidatorTest#testTableMissingJar@;@30@;@30@;@8941@;@8941@;@0@;@0@;@0@;@3@;@13m 0s
org.apache.hadoop.hbase.tool.coprocessor.CoprocessorValidatorTest#testNoSuchClass@;@1@;@1@;@25938@;@25938@;@0@;@0@;@0@;@1@;@13m 0s
org.apache.hadoop.hbase.tool.coprocessor.CoprocessorValidatorTest#testMissingClass@;@2@;@2@;@25657@;@25657@;@0@;@0@;@0@;@1@;@13m 0s
org.apache.hadoop.hbase.tool.coprocessor.CoprocessorValidatorTest#testTableValidJar@;@34@;@35@;@7643@;@7643@;@0@;@2@;@2@;@8@;@12m 59s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketCacheRefCnt#testInBucketCache@;@2@;@16@;@12517@;@0@;@3@;@0@;@0@;@15@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketCacheRefCnt#testBlockInBackingMap@;@2@;@16@;@13069@;@0@;@2@;@0@;@0@;@15@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketCacheRefCnt#testMarkStaleAsEvicted@;@2@;@11@;@16263@;@0@;@2@;@0@;@0@;@10@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketCacheRefCnt#testReplacingBlockAndGettingBlockConcurrently@;@2@;@16@;@13482@;@0@;@3@;@0@;@0@;@15@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketCacheRefCnt#testEvictingBlockCachingBlockGettingBlockConcurrently@;@2@;@16@;@12024@;@0@;@3@;@0@;@0@;@15@;@13m 0s
org.apache.hadoop.hbase.io.encoding.TestSeekBeforeWithReverseScan#testReverseScanWithPadding@;@211@;@239@;@2011@;@0@;@43@;@2@;@1300@;@194@;@13m 0s
org.apache.hadoop.hbase.io.encoding.TestSeekBeforeWithReverseScan#testReverseScanWithoutPadding@;@211@;@240@;@2075@;@0@;@46@;@2@;@1299@;@195@;@9m 14s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketWriterThread#testIOE@;@9@;@10@;@26639@;@0@;@2@;@0@;@0@;@10@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketWriterThread#testNonErrorCase@;@9@;@10@;@26193@;@0@;@2@;@0@;@0@;@10@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketWriterThread#testCacheFullException@;@9@;@10@;@27255@;@0@;@3@;@172@;@172@;@10@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestBlockCacheReporting#testLruBlockCache@;@26@;@32@;@9262@;@5997@;@8@;@11@;@11@;@30@;@27m 43s
org.apache.hadoop.hbase.io.hfile.TestBlockCacheReporting#testBucketCache@;@31@;@37@;@2776@;@0@;@9@;@0@;@0@;@36@;@5m 4s
org.apache.hadoop.hbase.io.hfile.TestBlockIOUtils#testPositionalReadNoExtra@;@13@;@14@;@21577@;@21577@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestBlockIOUtils#testPositionalReadExtraSucceeded@;@13@;@14@;@21126@;@21126@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestBlockIOUtils#testIsByteBufferReadable@;@13@;@46@;@10803@;@10803@;@0@;@2@;@2@;@7@;@12m 59s
org.apache.hadoop.hbase.io.hfile.TestBlockIOUtils#testPositionalReadExtraFailed@;@13@;@14@;@21244@;@21244@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestBlockIOUtils#testPositionalReadPrematureEOF@;@13@;@14@;@21247@;@21247@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestBlockIOUtils#testPositionalReadShortReadCompletesNecessaryAndExtraBytes@;@13@;@14@;@20752@;@20752@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestBucketWriterThread#testTooBigEntry@;@9@;@10@;@28432@;@0@;@2@;@0@;@0@;@10@;@13m 0s
org.apache.hadoop.hbase.io.hfile.bucket.TestRAMCache#testAtomicRAMCache@;@2@;@2@;@1259@;@1259@;@0@;@53@;@53@;@0@;@13m 0s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testEmptyOpenLogFiles@;@534@;@1735@;@10@;@9@;@1@;@14173@;@15063@;@1605@;@28m 2s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testEOFisIgnored@;@534@;@1735@;@1192@;@1190@;@1@;@13488@;@14867@;@1605@;@17m 42s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testCorruptWALTrailer@;@534@;@1735@;@14@;@13@;@1@;@14395@;@14875@;@1605@;@27m 22s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testIOEOnOutputThread@;@534@;@1734@;@14@;@12@;@2@;@11086@;@14594@;@1604@;@28m 3s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testFirstLineCorruptionLogFileSkipErrorsPasses@;@534@;@1736@;@2@;@0@;@1@;@11815@;@12289@;@1601@;@13m 0s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testCorruptedFileGetsArchivedIfSkipErrors@;@534@;@1737@;@61@;@59@;@2@;@13031@;@15315@;@1607@;@29m 8s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testCorruptedLogFilesSkipErrorsFalseDoesNotTouchLogs@;@534@;@1734@;@4@;@4@;@0@;@12770@;@13417@;@1604@;@25m 3s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testHasRecoveredEdits@;@534@;@544@;@5361@;@1460@;@1@;@10823@;@12458@;@105@;@29m 29s
org.apache.hadoop.hbase.wal.TestWALSplitCompressed#testEmptyLogFiles@;@534@;@1735@;@0@;@0@;@0@;@0@;@0@;@0@;@13m 32s
org.apache.hadoop.hbase.security.access.TestCoprocessorWhitelistMasterObserver#testSchemeAndDirectorywhitelisted@;@13@;@1952@;@782@;@0@;@1@;@2@;@245@;@3@;@29m 0s
org.apache.hadoop.hbase.security.access.TestCoprocessorWhitelistMasterObserver#testSubstringNonWhitelisted@;@13@;@1952@;@781@;@0@;@1@;@2@;@245@;@3@;@28m 59s
org.apache.hadoop.hbase.security.access.TestCoprocessorWhitelistMasterObserver#testSchemeWhitelisted@;@13@;@1952@;@781@;@0@;@1@;@78@;@614@;@3@;@28m 58s
org.apache.hadoop.hbase.filter.TestColumnPaginationFilter#testSerialization@;@35@;@35@;@11960@;@11960@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testSecurityForNonSecureHadoop@;@17@;@18@;@9130@;@9130@;@0@;@0@;@0@;@4@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testRunAs@;@16@;@16@;@13051@;@13051@;@0@;@0@;@0@;@1@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testGetCurrent@;@16@;@16@;@18684@;@18684@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testCacheGetGroups@;@17@;@17@;@13532@;@13412@;@1@;@5@;@5@;@3@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testCacheGetGroupsRoot@;@17@;@17@;@11675@;@11591@;@1@;@2@;@2@;@3@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testBasicAttributes@;@16@;@16@;@13056@;@13056@;@0@;@0@;@0@;@1@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testCreateUserForTestingGroupCache@;@17@;@18@;@13868@;@13754@;@1@;@0@;@0@;@4@;@13m 0s
org.apache.hadoop.hbase.security.TestUser#testUserGroupNames@;@16@;@16@;@13391@;@13391@;@0@;@0@;@0@;@1@;@13m 0s
org.apache.hadoop.hbase.filter.TestComparatorSerialization#testNullComparator@;@35@;@35@;@11350@;@11350@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestComparatorSerialization#testBitComparator@;@35@;@35@;@9890@;@9890@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestComparatorSerialization#testBinaryPrefixComparator@;@35@;@35@;@10289@;@10289@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestComparatorSerialization#testRegexStringComparator@;@35@;@35@;@11198@;@11198@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestComparatorSerialization#testBinaryComparator@;@35@;@35@;@11747@;@11747@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestComparatorSerialization#testBigDecimalComparator@;@35@;@35@;@10486@;@10486@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestColumnPrefixFilter#testColumnPrefixFilter@;@13@;@13@;@44964@;@0@;@1@;@9@;@169@;@0@;@13m 0s
