test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.zeppelin.notebook.repo.NotebookRepoSyncTest#testSyncWithAcl@;@25@;@28@;@618@;@617@;@1@;@6215@;@7101@;@28@;@29m 51s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testFailToLaunchInterpreterProcess_InvalidRunner@;@24@;@26@;@1007@;@1007@;@0@;@6563@;@7324@;@26@;@29m 49s
org.apache.zeppelin.notebook.NotebookTest#testPublicPrivateNewNote@;@23@;@24@;@1348@;@1348@;@0@;@6993@;@7012@;@24@;@29m 53s
org.apache.zeppelin.notebook.NotebookTest#testGetAllNotes@;@24@;@28@;@1406@;@1406@;@0@;@4195@;@8426@;@28@;@29m 51s
org.apache.zeppelin.resource.DistributedResourcePoolTest#testDistributedResourcePool@;@141@;@141@;@236@;@218@;@1@;@4824@;@7823@;@141@;@29m 40s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testIsUserAuthorized@;@6@;@6@;@335970@;@335970@;@0@;@1757@;@1757@;@6@;@29m 55s
org.apache.zeppelin.interpreter.ConfInterpreterTest#testCorrectConf@;@141@;@141@;@311@;@237@;@2@;@3502@;@8035@;@141@;@29m 42s
org.apache.zeppelin.search.LuceneSearchTest#canIndexAndQuery@;@8@;@10@;@873@;@870@;@1@;@2477@;@8360@;@10@;@29m 50s
org.apache.zeppelin.notebook.ParagraphTest#scriptBodyWithoutReplName@;@17@;@23@;@1607@;@1607@;@0@;@5416@;@8424@;@23@;@29m 53s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncTest#testOneWaySyncOnReloadedList@;@22@;@25@;@1560@;@1282@;@1@;@4243@;@7243@;@25@;@29m 52s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testRemoteInterpreterSharesTheSameSchedulerInstanceInTheSameGroup@;@19@;@22@;@1596@;@1596@;@0@;@5118@;@7944@;@22@;@29m 52s
