test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTimestampExpressions#testVectorUDFHourString@;@12@;@12@;@341@;@341@;@0@;@2692@;@2692@;@12@;@29m 48s
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.TestSQLStdHiveAccessControllerCLI#testAuthEnable@;@12@;@13@;@1302@;@1302@;@0@;@1909@;@1909@;@13@;@29m 52s
org.apache.hadoop.hive.ql.TestTxnCommands#testAddAndDropPartitionAdvancingWriteIds@;@12@;@295@;@656@;@0@;@6@;@12584@;@23875@;@197@;@29m 18s
org.apache.hadoop.hive.ql.stats.TestStatsUpdaterThread#testMultipleTables@;@12@;@319@;@532@;@0@;@1@;@18125@;@20271@;@198@;@29m 18s
org.apache.hadoop.hive.ql.lockmgr.ITestDbTxnManager#testConcurrentUpdateMergeUpdateConflictSlowCompile@;@22@;@291@;@753@;@0@;@1@;@22284@;@41297@;@260@;@29m 4s
org.apache.hadoop.hive.ql.parse.authorization.TestHiveAuthorizationTaskFactory#testRevokeRoleUser@;@12@;@70@;@239@;@0@;@6@;@4507@;@6715@;@59@;@29m 25s
org.apache.hadoop.hive.ql.TestTxnCommandsWithSplitUpdateAndVectorization#testMergeType2SCD02@;@12@;@297@;@131@;@0@;@5@;@12842@;@17896@;@200@;@6m 27s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorMathFunctions#testVectorRadians@;@12@;@12@;@1299@;@1299@;@0@;@1913@;@1913@;@12@;@29m 51s
org.apache.hadoop.hive.ql.exec.TestUtilities#testRemoveTempOrDuplicateFilesOnTezNoDp@;@12@;@33@;@854@;@854@;@0@;@3523@;@3524@;@22@;@29m 42s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker2#insertOnlyDisabled@;@12@;@59@;@6@;@0@;@2@;@25399@;@27588@;@45@;@14m 58s
org.apache.hadoop.hive.ql.txn.compactor.TestDeltaFilesMetricFlags#testDeltaFilesMetricFromCleanerWithAcidMetricsThreadDisabled@;@12@;@64@;@1@;@0@;@1@;@12899@;@12899@;@23@;@16s
org.apache.hadoop.hive.metastore.txn.TestTxnHandler#testReplAllocWriteId@;@12@;@58@;@175@;@84@;@5@;@13320@;@28096@;@50@;@8m 10s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreClientApiArgumentsChecker#testGetPartitionNames@;@12@;@54@;@737@;@737@;@0@;@6004@;@7001@;@34@;@29m 33s
org.apache.hadoop.hive.ql.TestTxnLoadData#loadDataNonAcid2AcidConversion@;@12@;@295@;@73@;@0@;@5@;@12428@;@23701@;@197@;@27m 47s
org.apache.hadoop.hive.ql.optimizer.calcite.translator.TestRexNodeConverter#testRewriteCaseChildrenNullChild@;@17@;@17@;@2560@;@0@;@1@;@1971@;@1976@;@0@;@29m 47s
org.apache.hadoop.hive.ql.TestTxnCommands2WithSplitUpdateAndVectorization#testMultiInsert@;@12@;@295@;@161@;@0@;@6@;@12590@;@22883@;@196@;@14m 54s
org.apache.hadoop.hive.ql.TestTxnCommands2WithSplitUpdateAndVectorization#testEmptyInTblproperties@;@12@;@289@;@32@;@0@;@3@;@12750@;@14323@;@50@;@1m 23s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTimestampExpressions#testVectorUDFYearString@;@12@;@12@;@303@;@303@;@0@;@2732@;@2732@;@12@;@29m 48s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMultiply#testVarcharTimesInt@;@12@;@16@;@1166@;@1166@;@0@;@2142@;@2142@;@16@;@29m 47s
