test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
alluxio.conf.InstancedConfigurationTest#setIgnoredPropertiesInSiteProperties@;@30@;@31@;@100000@;@0@;@1@;@995@;@1150@;@31@;@20m 33s
alluxio.TestDebug#test@;@34@;@37@;@336038@;@316644@;@1@;@931@;@945@;@37@;@29m 56s
alluxio.conf.InstancedConfigurationTest#noWhitespaceTrailingInSiteProperties@;@32@;@33@;@249207@;@196081@;@1@;@286@;@412@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsH@;@30@;@33@;@335114@;@335114@;@0@;@423@;@426@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getPosiviteSyncIntervalS@;@30@;@33@;@335290@;@335290@;@0@;@286@;@297@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMalformedDoubleThrowsException@;@29@;@32@;@335461@;@335461@;@0@;@1000@;@1011@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsS@;@30@;@30@;@336213@;@336213@;@0@;@854@;@861@;@30@;@29m 56s
alluxio.worker.block.io.LocalFileBlockReaderTest#close@;@31@;@34@;@252365@;@252365@;@0@;@1021@;@1028@;@34@;@29m 56s
alluxio.worker.block.io.LocalFileBlockReaderTest#getChannel@;@31@;@34@;@251806@;@251806@;@0@;@308@;@320@;@34@;@29m 56s
alluxio.underfs.UnderFileSystemTest#externalFactory@;@29@;@29@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
alluxio.underfs.options.CreateOptionsTest#securityEnabled@;@33@;@36@;@336422@;@279555@;@1@;@405@;@455@;@36@;@29m 56s
alluxio.conf.AlluxioPropertiesTest#isSet@;@31@;@35@;@100000@;@0@;@1@;@246@;@521@;@35@;@19m 36s
alluxio.conf.InstancedConfigurationTest#getRuntimeDefault@;@30@;@34@;@100000@;@0@;@1@;@976@;@1131@;@34@;@19m 38s
alluxio.conf.InstancedConfigurationTest#isSet@;@29@;@33@;@334430@;@334430@;@0@;@414@;@421@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getCredentialsDisplayValueIdentical@;@30@;@33@;@335651@;@335651@;@0@;@286@;@297@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#testDeprecatedKeysNotLogged@;@29@;@32@;@335076@;@335076@;@0@;@383@;@394@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getNegativeSyncIntervalS@;@30@;@33@;@335973@;@335973@;@0@;@414@;@425@;@33@;@29m 56s
alluxio.worker.block.io.LocalFileBlockReaderTest#getLength@;@31@;@31@;@247207@;@247207@;@0@;@303@;@314@;@31@;@29m 56s
alluxio.master.PollingMasterInquireClientTest#pollRejectingDoesntHang@;@55@;@59@;@134922@;@19964@;@11@;@874@;@4245@;@59@;@29m 50s
alluxio.cli.AbstractShellTest#commandAliasExists@;@29@;@32@;@333728@;@333728@;@0@;@844@;@855@;@32@;@29m 51s
alluxio.conf.InstancedConfigurationTest#getNegativeSyncInterval@;@30@;@33@;@330446@;@330446@;@0@;@402@;@413@;@33@;@29m 55s
alluxio.conf.InstancedConfigurationTest#sitePropertiesNotLoadedInTest@;@30@;@33@;@247653@;@247653@;@0@;@288@;@295@;@33@;@29m 55s
alluxio.conf.InstancedConfigurationTest#getMalformedClassThrowsException@;@30@;@33@;@330238@;@330238@;@0@;@318@;@329@;@33@;@29m 55s
alluxio.conf.InstancedConfigurationTest#getUnsetValueThrowsException@;@30@;@33@;@333406@;@333406@;@0@;@1019@;@1031@;@33@;@29m 55s
alluxio.conf.InstancedConfigurationTest#getMsM@;@30@;@30@;@331623@;@331623@;@0@;@286@;@297@;@30@;@29m 52s
alluxio.worker.block.io.LocalFileBlockReaderTest#getLocation@;@31@;@34@;@248071@;@248071@;@0@;@1002@;@1013@;@34@;@29m 55s
alluxio.AbstractClientTest#supportedVersion@;@31@;@34@;@335721@;@326349@;@1@;@334@;@360@;@34@;@29m 56s
alluxio.underfs.UnderFileSystemTest#coreFactory@;@32@;@34@;@335752@;@335752@;@0@;@465@;@476@;@34@;@29m 56s
alluxio.conf.AlluxioPropertiesTest#forEach@;@852@;@853@;@57642@;@0@;@1@;@1011@;@1020@;@853@;@29m 56s
alluxio.cli.AbstractShellTest#stableAliasNoWarning@;@29@;@29@;@335586@;@335586@;@0@;@833@;@844@;@29@;@29m 54s
alluxio.cli.AbstractShellTest#commandDoesNotExist@;@29@;@32@;@335490@;@335490@;@0@;@1472@;@1479@;@32@;@29m 54s
alluxio.conf.InstancedConfigurationTest#getBytesKb@;@30@;@33@;@335625@;@335625@;@0@;@979@;@981@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#unknownTieredStorageAlias@;@29@;@33@;@100000@;@0@;@1@;@422@;@427@;@33@;@19m 47s
alluxio.conf.InstancedConfigurationTest#getBytesGbUppercase@;@30@;@34@;@335626@;@335626@;@0@;@421@;@423@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMalformedEnum@;@29@;@32@;@335745@;@335745@;@0@;@451@;@454@;@32@;@29m 56s
alluxio.resource.CloseableIteratorTest#concatTwo@;@31@;@34@;@336111@;@336111@;@0@;@994@;@1001@;@34@;@29m 56s
alluxio.underfs.ObjectUnderFileSystemTest#testRetryOnException@;@29@;@34@;@13795@;@13795@;@0@;@1535@;@1554@;@34@;@29m 54s
alluxio.heartbeat.HeartbeatThreadTest#serialHeartbeatThread@;@34@;@37@;@9688@;@9394@;@1@;@315@;@383@;@37@;@29m 55s
alluxio.conf.InstancedConfigurationTest#getMalformedIntThrowsException@;@29@;@32@;@335848@;@335848@;@0@;@313@;@316@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#setValidation@;@29@;@32@;@335888@;@335888@;@0@;@955@;@967@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getClassTest@;@30@;@33@;@335260@;@335260@;@0@;@409@;@420@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#testDeprecatedKey@;@30@;@34@;@100000@;@0@;@1@;@399@;@412@;@34@;@21m 7s
alluxio.resource.DynamicResourcePoolTest#multiClients@;@31@;@34@;@1777@;@1777@;@0@;@991@;@1002@;@34@;@29m 54s
alluxio.resource.DynamicResourcePoolTest#acquireRentlyUsed@;@31@;@34@;@336192@;@336192@;@0@;@991@;@998@;@34@;@29m 57s
