test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testListStatusRootDir@;@525@;@532@;@2724@;@2724@;@0@;@9496@;@9767@;@116@;@29m 32s
org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManager#testOneOfTwoRacksDecommissioned@;@103@;@121@;@182@;@0@;@11@;@2964@;@3188@;@89@;@29m 48s
org.apache.hadoop.security.TestPermissionSymlinks#testAclRenameTargetNotWritableFC@;@525@;@526@;@2080@;@2080@;@0@;@14203@;@16619@;@93@;@29m 33s
org.apache.hadoop.hdfs.qjournal.server.TestJournal#testNewEpochAtBeginningOfSegment@;@4@;@4@;@11673@;@0@;@6@;@1996@;@2571@;@3@;@29m 52s
org.apache.hadoop.fs.TestSymlinkHdfsFileContext#testLinkStatusAndTargetWithNonLink@;@532@;@532@;@2650@;@2650@;@0@;@12182@;@14168@;@2@;@29m 35s
org.apache.hadoop.hdfs.tools.TestGetConf#testTool@;@21@;@21@;@5396@;@5396@;@0@;@1967@;@1967@;@3@;@29m 55s
org.apache.hadoop.hdfs.server.sps.TestExternalStoragePolicySatisfier#testWhenStoragePolicySetToONESSD@;@537@;@546@;@1093@;@0@;@13@;@2238@;@3714@;@118@;@29m 22s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testDefaultAclNewDirIntermediate@;@522@;@529@;@3075@;@3075@;@0@;@13046@;@15445@;@29@;@29m 35s
org.apache.hadoop.hdfs.server.namenode.ha.TestStandbyCheckpoints#testStandbyAndObserverState@;@663@;@674@;@1690@;@0@;@12@;@2212@;@3614@;@180@;@29m 34s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testCreateFlagOverwriteExistingFile@;@529@;@529@;@1608@;@1608@;@0@;@18635@;@19722@;@93@;@29m 28s
