test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.yarn.conf.TestYarnConfiguration#testUpdateConnectAddr@;@11@;@12@;@5186@;@0@;@1@;@1710@;@1735@;@6@;@29m 56s
org.apache.hadoop.yarn.util.resource.TestResources#testCompareToWithNoneResource@;@15@;@15@;@4850@;@4850@;@0@;@1777@;@1777@;@0@;@29m 56s
org.apache.hadoop.yarn.util.resource.TestResourceUtils#testGetResourceTypesConfigErrors@;@28@;@55@;@4919@;@4919@;@0@;@2764@;@2891@;@39@;@29m 56s
org.apache.hadoop.yarn.api.TestPBImplRecords#testUpdateNodeResourceResponsePBImpl@;@11@;@11@;@5829@;@5829@;@0@;@1718@;@1718@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testContainerRetryPBImpl@;@11@;@11@;@5882@;@5882@;@0@;@1951@;@1951@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testPreemptionResourceRequestPBImpl@;@11@;@11@;@5661@;@5661@;@0@;@2496@;@2496@;@0@;@29m 53s
org.apache.hadoop.yarn.util.TestFSDownload#testUniqueDestinationPath@;@1@;@33@;@10751@;@0@;@2@;@2166@;@2193@;@5@;@29m 54s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClient#testPostEntitiesNoResponse@;@26@;@38@;@4212@;@3354@;@3@;@1960@;@4034@;@20@;@29m 51s
org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock#testBlockContainsPortNumForUnavailableAppLog@;@38@;@42@;@5381@;@5130@;@1@;@2771@;@2791@;@21@;@29m 53s
org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock#testBadLogs@;@47@;@51@;@4181@;@2976@;@6@;@2497@;@3647@;@25@;@29m 52s
org.apache.hadoop.yarn.util.resource.TestResources#testFitsIn@;@15@;@15@;@5640@;@5640@;@0@;@1769@;@1769@;@0@;@29m 55s
org.apache.hadoop.yarn.api.TestPBImplRecords#testReservationDeleteResponsePBImpl@;@11@;@11@;@6084@;@6084@;@0@;@1718@;@1718@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testResourcePBImpl@;@11@;@11@;@5941@;@5941@;@0@;@2029@;@2029@;@0@;@29m 54s
org.apache.hadoop.yarn.logaggregation.TestAggregatedLogDeletionService#testDeletion@;@34@;@34@;@9967@;@9967@;@0@;@3025@;@3054@;@14@;@29m 52s
org.apache.hadoop.yarn.security.TestYARNTokenIdentifier#testAMRMTokenIdentifierOldFormat@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.yarn.util.TestRackResolverScriptBasedMapping#testScriptName@;@3@;@3@;@14519@;@14519@;@0@;@1633@;@1633@;@2@;@29m 56s
org.apache.hadoop.yarn.nodelabels.TestCommonNodeLabelsManager#testTrimLabelsWhenModifyLabelsOnNodes@;@13@;@13@;@5153@;@5153@;@0@;@2237@;@2245@;@2@;@29m 55s
org.apache.hadoop.yarn.util.TestFSDownload#testDownload@;@1@;@33@;@1973@;@1590@;@3@;@2715@;@2729@;@12@;@29m 49s
org.apache.hadoop.yarn.webapp.util.TestWebAppUtils#testGetPassword@;@34@;@34@;@680@;@680@;@0@;@2930@;@2931@;@9@;@29m 52s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClientV2Impl#testSetTimelineToken@;@27@;@38@;@5199@;@0@;@4@;@3313@;@3385@;@19@;@29m 54s
org.apache.hadoop.yarn.util.resource.TestResources#testMultiplyAndRoundUpCustomResources@;@15@;@15@;@4481@;@4481@;@0@;@1817@;@1817@;@0@;@29m 55s
org.apache.hadoop.yarn.util.resource.TestResources#testMultiplyAndAddTo@;@15@;@42@;@3725@;@3577@;@4@;@2759@;@3115@;@38@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetDelegationTokenResponsePBImpl@;@11@;@11@;@4924@;@4924@;@0@;@1992@;@1992@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetApplicationReportResponsePBImpl@;@11@;@11@;@4449@;@4449@;@0@;@2795@;@2795@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetContainerReportRequestPBImpl@;@11@;@11@;@4400@;@4400@;@0@;@1888@;@1888@;@0@;@29m 50s
org.apache.hadoop.yarn.api.TestPBImplRecords#testURLPBImpl@;@11@;@11@;@4455@;@4455@;@0@;@1810@;@1810@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testRefreshNodesRequestPBImpl@;@11@;@11@;@5144@;@5144@;@0@;@1844@;@1844@;@0@;@29m 53s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClientForATS1_5#testPostEntities@;@48@;@60@;@2792@;@1537@;@10@;@3753@;@7038@;@40@;@29m 49s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClient#testTimelineClientCleanup@;@51@;@51@;@3247@;@0@;@4@;@5195@;@5233@;@30@;@29m 48s
org.apache.hadoop.yarn.webapp.TestWebApp#testRobotsText@;@35@;@47@;@23@;@0@;@7@;@10587@;@13039@;@37@;@29s
org.apache.hadoop.yarn.util.resource.TestResources#testCreateResourceWithSameLongValue@;@15@;@42@;@4305@;@4158@;@4@;@2757@;@3027@;@38@;@29m 56s
org.apache.hadoop.yarn.api.TestGetApplicationsRequest#testGetApplicationsRequest@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetApplicationAttemptsRequestPBImpl@;@11@;@11@;@5851@;@5851@;@0@;@1841@;@1841@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testLocalResourcePBImpl@;@11@;@11@;@5853@;@5853@;@0@;@2010@;@2016@;@0@;@29m 54s
org.apache.hadoop.yarn.server.security.TestApplicationACLsManager#testCheckAccess@;@21@;@21@;@13069@;@13069@;@0@;@1906@;@1906@;@2@;@29m 55s
org.apache.hadoop.yarn.logaggregation.TestAggregatedLogDeletionService#testCheckInterval@;@34@;@34@;@1552@;@1552@;@0@;@2938@;@2951@;@14@;@29m 50s
org.apache.hadoop.yarn.nodelabels.TestCommonNodeLabelsManager#testAddRemovelabel@;@13@;@13@;@5427@;@5427@;@0@;@2104@;@2104@;@2@;@29m 55s
