test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.hdfs.server.namenode.ha.TestHAConfiguration#testHAUniqueEditDirs,30,30,2733,2733,0,1311,1316,14m 51s
org.apache.hadoop.hdfs.tools.TestGetConf#testExtraArgsThrowsError,20,20,2676,2676,0,1226,1226,14m 56s
org.apache.hadoop.hdfs.server.datanode.TestDatanodeRegister#testInvalidConfigurationValue,44,44,2694,2694,0,2002,2024,14m 51s
org.apache.hadoop.hdfs.server.namenode.TestDeadDatanode#testDeadDatanode,522,522,1909,0,4,0,0,14m 28s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testInternalRename2,523,539,1303,0,3,0,0,14m 29s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testInternalCreateMissingDir,523,536,1257,0,2,0,0,14m 31s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testOperationsThroughMountLinks,523,536,1386,0,2,0,0,14m 29s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testResolvePathMissingThroughMountPoints,523,539,1509,0,3,0,0,14m 32s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testInternalCreate1,523,536,1374,0,2,0,0,14m 30s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testListLocatedStatus,523,539,1253,0,3,0,0,14m 29s
org.apache.hadoop.fs.viewfs.TestViewFileSystemAtHdfsRoot#testInternalRename2,525,540,1075,0,2,0,0,14m 33s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testCreateFlagAppendCreateOverwrite,529,529,1536,0,2,0,0,14m 29s
org.apache.hadoop.hdfs.TestByteBufferPread#testPreadWithByteBuffer,525,525,1648,0,2,0,0,14m 28s
org.apache.hadoop.hdfs.TestDFSOutputStream#testEndLeaseCall,522,525,1682,0,2,0,0,14m 25s
org.apache.hadoop.fs.viewfs.TestViewFsAtHdfsRoot#testInternalRename2,523,539,1192,0,3,0,0,14m 31s
org.apache.hadoop.hdfs.TestDecommissionWithStripedBackoffMonitor#testFileSmallerThanOneStripe,531,531,1738,0,5,0,0,14m 30s
org.apache.hadoop.hdfs.TestDecommissionWithStripedBackoffMonitor#testFileSmallerThanOneCell,531,531,1698,0,4,0,0,14m 30s
org.apache.hadoop.hdfs.server.namenode.snapshot.TestOpenFilesWithSnapshot#testSnapshotsForOpenFilesWithNNRestart,531,531,1869,0,4,0,0,14m 32s
org.apache.hadoop.hdfs.server.diskbalancer.command.TestDiskBalancerCommand#testRunMultipleCommandsUnderOneSetup,530,530,1648,0,4,0,0,14m 31s
org.apache.hadoop.hdfs.server.diskbalancer.command.TestDiskBalancerCommand#testDiskBalancerForceExecute,530,530,1748,0,4,0,0,14m 33s
org.apache.hadoop.hdfs.server.namenode.snapshot.TestSnapshotDiffReport#testDiffReportWithOpenFiles,531,531,1641,0,4,0,0,14m 31s
org.apache.hadoop.hdfs.TestEncryptionZones#testEncryptionZonesWithSnapshots,542,542,1908,0,4,0,0,14m 30s
org.apache.hadoop.hdfs.server.namenode.TestDiskspaceQuotaUpdate#testQuotaIssuesWhileCommittingHelper,522,523,1567,0,2,0,0,14m 30s
org.apache.hadoop.hdfs.server.namenode.ha.TestRetryCacheWithHA#testConcat,623,623,2046,0,4,0,0,14m 33s
org.apache.hadoop.hdfs.server.namenode.ha.TestRetryCacheWithHA#testListCacheDirectives,623,623,1902,0,4,0,0,14m 32s
org.apache.hadoop.hdfs.TestMaintenanceState#testInvalidation,558,558,1725,0,6,0,0,14m 30s
org.apache.hadoop.hdfs.server.sps.TestExternalStoragePolicySatisfier#testSatisfyFileWithHdfsAdmin,537,537,1700,0,4,0,0,14m 32s
org.apache.hadoop.hdfs.TestQuotaAllowOwner#testOwnerCanSetSubDirQuotaWithoutAdminDone,525,525,1536,1536,0,6567,8684,14m 31s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractOpen#testFsIsEncrypted,522,526,1630,1630,0,1504,7977,14m 34s
org.apache.hadoop.hdfs.web.TestFSMainOperationsWebHdfs#testRenameDirectoryToNonExistentParent,531,532,1409,1409,0,11402,14579,14m 29s
org.apache.hadoop.hdfs.TestIsMethodSupported#testRefreshCallQueueProtocol,522,522,1630,1630,0,3431,5810,14m 36s
org.apache.hadoop.hdfs.TestIsMethodSupported#testNamenodeProtocol,522,522,1505,1505,0,3545,5738,14m 36s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testZeroByteFilesAreFiles,525,532,1627,1627,0,5476,5891,14m 26s
org.apache.hadoop.hdfs.server.blockmanagement.TestSortLocatedBlock#testWithStaleDatanodes,61,63,666,638,3,2204,2377,14m 49s
org.apache.hadoop.hdfs.server.namenode.TestNameNodeAcl#testModifyAclEntriesOnlyAccess,522,525,1391,1391,0,7693,9965,14m 35s
