test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testInputStreamClosedTwice,39,39,6050,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testGetWrappedInputStream,39,39,5600,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testWriteReadAndDeleteTwoBlocks,39,39,5850,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testOutputStreamClosedTwice,39,39,5866,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testRenameFileToItself,38,38,6008,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testWriteReadAndDeleteEmptyFile,39,39,5825,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testRenameDirectoryAsFile,38,38,5942,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testRenameFileAsExistingDirectory,38,38,5231,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testWriteReadAndDeleteOneBlock,39,39,5981,0,1,0,0,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testListStatusFilterWithSomeMatches,23,23,5459,5459,0,1714,1719,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testRenameFileToExistingParent,23,23,4465,4465,0,1967,1976,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testCreateFlagCreateAppendExistingFile,23,23,5229,5229,0,1911,1920,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testRenameFileToItself,23,23,5173,5173,0,1939,1948,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testCreateFlagAppendCreateOverwrite,23,23,5288,0,2,0,0,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testDefaultFilePermission,23,23,5197,5197,0,1924,1930,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testMkdirsFailsForSubdirectoryOfExistingFile,23,23,5641,5641,0,1903,1908,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testRenameFileAsExistingDirectory,23,23,4602,4602,0,1939,1948,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testGlobStatusFilterWithSomePathMatchesAndTrivialFilter,23,23,5601,5601,0,2179,2184,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testListFiles,23,23,4297,4297,0,2085,2094,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testRenameFileAsExistingFile,23,23,4947,4947,0,1981,1989,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testListCorruptFileBlocks,23,23,5299,5299,0,1885,1890,14m 55s
