test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testFailAbortV2@;@46@;@48@;@1885@;@1884@;@1@;@2734@;@2830@;@24@;@29m 53s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostConnectionRejected@;@11@;@11@;@2985@;@2469@;@1@;@2782@;@2929@;@11@;@29m 51s
org.apache.hadoop.mapred.TestIndexCache#testBadIndex@;@34@;@34@;@2430@;@2430@;@0@;@2299@;@2306@;@10@;@29m 53s
org.apache.hadoop.mapred.TestJobConf#testProfileParamsSetter@;@5@;@5@;@0@;@0@;@0@;@0@;@0@;@0@;@2s
org.apache.hadoop.mapred.TestJobConf#testJobConf@;@66@;@66@;@3017@;@0@;@2@;@1874@;@1879@;@7@;@29m 53s
org.apache.hadoop.mapred.TestJobConf#testProfileParamsGetter@;@5@;@5@;@0@;@0@;@0@;@0@;@0@;@0@;@2s
org.apache.hadoop.mapred.TestJobConf#testMemoryConfigForMapOrReduceTask@;@12@;@12@;@5062@;@5051@;@1@;@1976@;@2076@;@12@;@29m 55s
org.apache.hadoop.mapreduce.checkpoint.TestFSCheckpointService#testCheckpointCreate@;@1@;@1@;@12639@;@12639@;@0@;@2308@;@2308@;@0@;@29m 51s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testPathsWithFragsAndWildCard@;@42@;@42@;@1792@;@1781@;@1@;@2311@;@2326@;@21@;@29m 50s
org.apache.hadoop.mapreduce.TestJob#testUnexpectedJobStatus@;@23@;@23@;@1904@;@1904@;@0@;@2363@;@2363@;@5@;@29m 52s
org.apache.hadoop.mapred.TestLineRecordReader#testBzipWithMultibyteDelimiter@;@33@;@33@;@726@;@664@;@6@;@2760@;@2829@;@12@;@29m 52s
org.apache.hadoop.mapred.TestTaskProgressReporter#testBytesWrittenExceedingLimit@;@44@;@44@;@14@;@14@;@0@;@2722@;@2725@;@16@;@16s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testUncompressedInputContainingCRLF@;@37@;@37@;@1293@;@1293@;@0@;@2569@;@2569@;@13@;@29m 52s
org.apache.hadoop.mapreduce.task.reduce.TestMerger#testCompressed@;@41@;@41@;@3082@;@3067@;@1@;@2771@;@2816@;@20@;@29m 53s
org.apache.hadoop.mapreduce.split.TestJobSplitWriterWithEC#testMaxBlockLocationsOldSplitsWithErasureCoding@;@542@;@553@;@1184@;@0@;@1@;@2468@;@3846@;@117@;@29m 32s
org.apache.hadoop.mapreduce.TestJobSubmissionFiles#testGetStagingDirWhenShortFileOwnerNameAndFullUserName@;@19@;@19@;@2848@;@2848@;@0@;@2384@;@2389@;@0@;@29m 51s
org.apache.hadoop.mapreduce.TestJobResourceUploaderWithSharedCache#testSharedCacheDisabled@;@525@;@566@;@1179@;@0@;@11@;@12664@;@16141@;@134@;@29m 27s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testCommitterV1@;@47@;@55@;@1932@;@0@;@19@;@2291@;@3668@;@34@;@29m 52s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostBogusHeader@;@11@;@11@;@2814@;@2325@;@1@;@2906@;@3007@;@11@;@29m 53s
org.apache.hadoop.mapred.TestFileOutputCommitter#testCommitterWithDuplicatedCommitV2@;@48@;@48@;@2664@;@2664@;@0@;@2743@;@2746@;@24@;@29m 54s
org.apache.hadoop.mapreduce.tools.TestCLI#testListAttemptIdsWithValidInput@;@2@;@2@;@2900@;@2900@;@0@;@2459@;@2461@;@2@;@29m 53s
org.apache.hadoop.mapred.TestLineRecordReader#testUncompressedInputContainingCRLF@;@33@;@33@;@1295@;@1295@;@0@;@2544@;@2544@;@9@;@29m 52s
org.apache.hadoop.mapred.TestLineRecordReader#testSafeguardSplittingUnsplittableFiles@;@32@;@32@;@2601@;@0@;@5@;@2330@;@2391@;@11@;@29m 54s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testUncompressedInputDefaultDelimiterPosValue@;@36@;@36@;@2396@;@2396@;@0@;@2567@;@2567@;@12@;@29m 54s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testRecordSpanningMultipleSplitsCompressed@;@36@;@36@;@398@;@327@;@2@;@2925@;@3057@;@15@;@29m 51s
org.apache.hadoop.mapreduce.TestContextFactory#testCloneContext@;@22@;@22@;@4684@;@4684@;@0@;@1721@;@1721@;@4@;@29m 55s
org.apache.hadoop.mapreduce.TestJobSubmissionFiles#testGetStagingDirWhenFullFileOwnerNameAndFullUserName@;@19@;@19@;@2423@;@2423@;@0@;@2389@;@2394@;@0@;@29m 51s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testMapFileOutputCommitterV2@;@54@;@61@;@1369@;@701@;@31@;@3526@;@4224@;@37@;@27m 30s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testRecoveryV2@;@48@;@50@;@1716@;@1715@;@1@;@3055@;@3103@;@26@;@29m 51s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testRecoveryV1@;@46@;@48@;@1463@;@1460@;@3@;@2952@;@3185@;@27@;@29m 52s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testMapFileOutputCommitterV1@;@52@;@59@;@1377@;@904@;@27@;@3504@;@4183@;@35@;@29m 51s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testBzip2SplitEndsAtCR@;@37@;@37@;@264@;@264@;@0@;@2741@;@2771@;@12@;@29m 47s
org.apache.hadoop.mapreduce.security.TestTokenCache#testBinaryCredentialsWithoutScheme@;@7@;@37@;@2308@;@2308@;@0@;@3096@;@3103@;@8@;@29m 50s
org.apache.hadoop.mapreduce.security.TestTokenCache#testSingleTokenFetch@;@7@;@12@;@12657@;@10848@;@1@;@2317@;@2326@;@8@;@29m 51s
org.apache.hadoop.mapred.TestTaskLog#testTaskLog@;@27@;@27@;@2682@;@2682@;@0@;@2602@;@2608@;@2@;@29m 51s
org.apache.hadoop.mapred.TestDebug#test@;@6@;@7@;@5097@;@4750@;@1@;@1700@;@1703@;@7@;@29m 55s
org.apache.hadoop.mapred.TestJobAclsManager#testClusterAdmins@;@20@;@20@;@4437@;@4437@;@0@;@1833@;@1833@;@4@;@29m 54s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testCommitterWithDuplicatedCommitV2@;@48@;@53@;@1658@;@1649@;@4@;@2290@;@3187@;@32@;@29m 52s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testCommitterWithDuplicatedCommitV1@;@46@;@48@;@1669@;@1660@;@3@;@2288@;@3177@;@27@;@29m 53s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testRecoveryUpgradeV1V2@;@47@;@47@;@1858@;@1858@;@0@;@2829@;@2832@;@23@;@29m 52s
org.apache.hadoop.mapreduce.jobhistory.TestHistoryViewerPrinter#testJSONPrinter@;@8@;@8@;@5158@;@5158@;@0@;@2417@;@2423@;@0@;@29m 55s
